satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary
0.32,0.36,3,299,3,0,0,0,marketing,medium
0.07,0.83,7,232,8,1,0,0,technical,low
0.72,0.87,3,294,8,0,0,0,RandD,low
0.67,0.42,4,303,3,1,0,0,marketing,low
0.75,0.76,4,216,6,0,0,0,support,medium
0.54,0.64,6,292,2,0,0,0,IT,low
0.28,0.36,7,262,9,1,1,0,technical,low
0.39,0.39,7,123,10,0,0,0,product_mng,low
0.16,0.55,2,135,3,0,0,0,management,high
0.65,0.82,7,281,10,0,0,0,finance,low
0.43,0.76,3,263,2,0,0,0,support,low
0.41,0.44,4,230,10,0,0,0,hr,medium
0.55,0.61,5,258,7,1,1,0,technical,low
0.27,0.4,3,255,10,0,0,0,RandD,low
0.25,0.71,6,143,9,0,0,0,hr,medium
0.22,0.39,6,281,6,0,0,0,marketing,medium
0.35,0.36,3,275,5,0,0,0,technical,medium
0.31,0.47,6,214,10,0,1,0,technical,medium
0.33,0.9,5,154,8,0,0,0,hr,low
0.49,0.8,5,109,3,0,0,0,IT,high
0.65,0.67,2,176,8,0,0,0,marketing,low
0.58,0.6,3,244,7,0,0,0,technical,medium
0.63,0.53,3,279,3,0,0,0,support,low
0.38,0.62,5,224,8,0,0,0,marketing,medium
0.51,0.85,3,282,7,0,0,0,RandD,low
0.28,0.69,6,269,3,0,1,0,product_mng,medium
0.73,0.43,4,274,9,0,0,0,technical,high
0.35,0.48,4,200,4,0,0,0,hr,low
0.66,0.57,4,269,3,0,1,0,RandD,low
0.42,0.36,3,97,2,0,0,0,marketing,medium
0.34,0.82,5,258,7,1,0,0,sales,medium
0.52,0.36,3,188,9,0,0,0,support,low
0.7,0.36,6,186,6,0,0,0,management,medium
0.26,0.77,6,133,3,0,1,0,sales,medium
0.34,0.36,3,251,2,0,0,0,finance,medium
0.16,0.73,6,249,10,0,0,0,management,medium
0.67,0.36,7,294,3,0,0,0,hr,medium
0.19,0.42,4,115,9,0,1,0,marketing,low
0.76,0.68,3,196,3,0,0,0,management,low
0.69,0.36,3,257,2,0,0,0,RandD,medium
0.21,0.84,6,209,9,0,1,0,product_mng,medium
0.26,0.41,2,268,8,0,0,0,marketing,low
0.62,0.46,7,216,4,0,0,0,finance,low
0.41,0.48,5,275,3,1,0,0,sales,low
0.03,0.58,5,112,5,1,0,0,RandD,medium
0.36,0.45,7,111,10,0,1,0,IT,low
0.4,0.83,2,142,5,0,0,0,product_mng,medium
0.58,0.47,7,97,8,0,0,0,RandD,low
0.19,0.65,3,306,3,0,0,0,technical,low
0.86,0.36,7,254,8,0,0,0,finance,high
0.6,0.45,6,263,10,0,1,0,management,medium
0.82,0.9,6,216,5,0,0,0,finance,medium
0.48,0.84,4,119,6,0,1,0,finance,medium
0.03,0.88,5,186,6,0,0,0,sales,high
0.37,0.49,7,163,6,0,0,0,finance,medium
0.48,0.65,4,255,3,1,0,0,product_mng,medium
0.1,0.66,5,105,7,0,0,0,product_mng,low
0.09,0.81,2,117,9,0,0,0,marketing,low
0.59,0.36,3,177,6,0,0,0,hr,low
0.16,0.47,6,201,8,1,0,0,RandD,medium
0.58,0.62,2,149,5,0,0,0,marketing,medium
0.36,0.58,6,124,3,0,0,0,product_mng,low
0.62,0.66,6,115,8,0,0,0,sales,medium
0.43,0.79,5,234,8,0,0,0,finance,medium
0.51,0.73,2,192,2,0,1,0,finance,low
0.15,0.36,3,266,8,0,0,0,hr,high
0.62,0.66,2,285,9,1,1,0,marketing,low
0.85,0.64,4,223,5,0,0,0,product_mng,low
0.53,0.36,3,176,6,0,0,0,management,low
0.1,0.81,5,260,5,0,0,0,finance,low
0.24,0.36,2,184,9,0,1,0,marketing,medium
0.59,0.79,2,222,4,0,1,0,marketing,low
0.57,0.64,4,164,10,0,0,0,support,low
0.67,0.63,2,201,4,0,0,0,RandD,low
0.23,0.76,5,171,8,0,0,0,RandD,low
0.18,0.36,7,241,3,0,0,0,finance,medium
0.16,0.92,6,112,4,0,0,0,marketing,low
0.32,0.49,3,220,5,1,0,0,sales,low
0.34,0.55,5,276,3,0,0,0,sales,medium
0.68,0.57,4,187,10,0,0,0,RandD,medium
0.37,0.36,2,178,6,0,1,0,finance,low
0.49,0.85,4,112,8,0,0,0,sales,medium
0.58,0.58,5,109,7,0,1,0,technical,medium
0.45,0.67,6,130,9,1,0,0,product_mng,low
0.49,0.59,6,168,2,0,0,0,marketing,medium
0.11,0.41,3,297,7,1,1,0,sales,medium
0.41,0.71,5,256,7,0,0,0,product_mng,low
0.76,0.73,4,250,7,1,0,0,management,low
0.39,0.88,5,102,7,0,1,0,RandD,low
0.25,0.41,5,305,9,0,0,0,hr,medium
0.31,0.79,2,211,7,0,0,0,hr,medium
0.44,0.49,3,120,6,1,1,0,finance,medium
0.49,0.36,3,166,6,0,0,0,finance,medium
0.44,0.43,5,143,6,0,1,0,IT,low
0.5,0.47,7,119,3,0,0,0,support,low
0.69,0.63,4,242,6,0,0,0,hr,medium
0.33,0.58,3,195,2,0,0,0,marketing,medium
0.66,0.46,4,233,10,0,0,0,technical,low
0.47,0.91,5,284,6,0,1,0,management,medium
0.43,0.79,3,167,10,1,0,0,finance,low
0.4,0.73,4,147,2,0,0,0,marketing,medium
0.16,0.47,3,278,3,0,0,0,sales,medium
0.73,0.53,2,283,2,0,0,0,management,high
0.28,0.62,5,129,4,0,0,0,marketing,medium
0.34,0.6,4,293,10,1,0,0,support,medium
0.93,0.65,3,127,6,1,1,0,support,low
0.38,0.62,5,287,9,0,0,0,hr,low
0.4,0.79,5,309,3,0,1,0,support,low
0.2,0.5,5,270,7,0,1,0,technical,medium
0.17,0.5,7,255,2,0,1,0,marketing,low
0.05,0.42,6,305,9,0,0,0,product_mng,medium
0.04,0.71,6,149,3,0,0,0,RandD,low
0.52,0.48,7,103,9,0,1,0,support,medium
0.3,0.36,5,179,6,0,0,0,support,low
0.01,0.94,4,301,4,0,0,0,marketing,low
0.78,0.57,5,116,2,0,0,0,product_mng,low
0.62,0.65,6,287,9,0,0,0,product_mng,medium
0.31,0.74,4,295,10,1,1,0,technical,medium
0.7,0.88,4,172,8,0,0,0,product_mng,medium
0.58,0.42,7,121,9,0,0,0,technical,medium
0.39,0.52,5,296,6,0,0,0,support,low
0.12,0.81,4,195,6,0,0,0,marketing,medium
0.35,0.76,3,181,2,0,0,0,product_mng,medium
0.33,0.55,2,305,9,0,0,0,hr,low
0.23,0.94,2,254,10,1,1,0,IT,low
0.45,0.36,7,138,2,0,1,0,sales,low
0.57,0.36,5,106,5,0,0,0,sales,low
0.38,0.73,3,174,10,0,0,0,RandD,low
0.11,0.64,5,283,3,0,0,0,marketing,medium
0.18,0.4,6,244,10,0,0,0,RandD,low
0.79,0.63,2,254,7,0,1,0,hr,medium
0.07,0.68,3,304,5,0,0,0,support,low
0.4,0.36,5,99,5,0,1,0,RandD,high
0.3,0.59,2,160,2,0,0,0,management,low
0.48,0.82,5,108,3,0,0,0,finance,low
0.47,0.68,7,150,9,1,0,0,technical,medium
0.41,0.62,7,110,9,0,0,0,RandD,high
0.62,0.57,4,136,7,0,0,0,hr,low
0.5,0.59,4,284,9,1,1,0,technical,high
0.4,0.55,7,271,6,0,0,0,technical,medium
0.47,0.79,4,204,9,0,1,0,RandD,medium
0.68,0.64,2,261,9,0,0,0,sales,low
0.39,0.79,4,290,5,0,0,0,finance,low
0.65,0.72,6,172,5,0,0,0,IT,low
0.63,0.75,3,122,2,1,1,0,sales,low
0.18,0.71,2,283,2,0,0,0,management,medium
0.19,0.81,3,228,4,0,1,0,hr,low
0.49,0.36,5,114,5,0,0,0,finance,medium
0.69,0.74,5,287,8,0,0,0,IT,low
0.25,0.77,2,244,7,0,0,0,management,medium
0.44,0.98,2,201,8,1,1,0,technical,low
0.51,0.64,6,259,2,1,0,0,marketing,low
0.04,0.42,4,146,5,0,1,0,finance,low
0.51,0.62,6,187,7,0,0,0,finance,low
0.24,0.36,3,112,8,0,0,0,management,high
0.4,0.47,6,118,10,1,1,0,hr,low
0.08,0.67,7,214,7,0,0,0,IT,high
0.23,0.85,4,286,8,0,0,0,finance,medium
0.41,0.45,2,302,2,0,0,0,support,medium
0.39,0.36,3,287,6,0,0,0,finance,medium
0.28,0.86,7,177,2,0,0,0,RandD,low
0.36,0.64,4,143,10,0,1,0,finance,medium
0.5,0.63,4,134,8,0,0,0,IT,medium
0.42,0.36,2,161,10,1,1,0,product_mng,medium
0.16,0.68,7,221,7,0,0,0,marketing,medium
0.13,0.47,4,121,8,0,0,0,management,medium
0.59,0.64,5,240,9,0,0,0,finance,low
0.47,0.89,4,258,4,0,0,0,product_mng,low
0.48,0.36,6,290,6,0,0,0,product_mng,high
0.34,0.44,5,167,5,0,0,0,product_mng,low
0.23,0.85,4,245,3,0,1,0,sales,low
0.22,0.58,3,98,5,0,0,0,finance,low
0.54,0.5,2,229,9,0,0,0,technical,low
0.2,0.68,5,274,6,0,0,0,IT,low
0.45,0.97,5,288,6,0,0,0,management,low
0.46,0.56,5,218,5,1,0,0,sales,medium
0.15,0.82,4,290,7,0,0,0,sales,medium
0.33,0.95,6,109,7,1,0,0,hr,low
0.53,0.36,4,176,5,0,1,0,product_mng,low
0.36,0.51,5,192,10,0,0,0,sales,medium
0.08,0.85,2,206,6,0,1,0,technical,low
0.71,0.53,5,252,4,0,0,0,sales,low
0.36,0.57,5,219,6,0,0,0,finance,medium
0.17,0.36,3,155,10,0,0,0,product_mng,high
0.75,0.79,3,233,9,1,1,0,product_mng,low
0.14,0.96,6,134,9,0,1,0,marketing,medium
0.49,0.71,7,116,4,0,0,0,finance,low
0.42,0.37,3,128,5,0,0,0,sales,medium
0.26,0.69,2,215,3,0,1,0,management,medium
0.15,0.53,6,211,9,0,0,0,support,low
0.63,0.56,7,272,3,0,1,0,management,medium
0.32,0.76,4,108,8,0,0,0,marketing,medium
0.53,0.39,5,289,7,0,0,0,marketing,medium
0.05,0.91,6,131,2,0,0,0,management,medium
0.58,0.59,5,108,5,1,0,0,hr,low
0.65,0.85,3,225,5,0,0,0,sales,low
0.51,0.82,4,225,4,0,0,0,IT,low
0.22,0.36,6,188,9,0,1,0,sales,medium
0.33,0.71,3,296,10,0,0,0,marketing,medium
0.44,0.62,3,125,4,0,0,0,RandD,medium
0.34,0.67,7,129,10,0,0,0,management,low
0.28,0.52,4,259,5,0,0,0,finance,medium
0.65,0.4,6,134,3,0,1,0,sales,high
0.23,0.78,5,249,8,1,0,0,hr,high
0.67,0.36,2,151,4,0,1,0,hr,medium
0.29,0.42,2,214,6,0,0,0,product_mng,low
0.44,0.56,4,158,5,0,1,0,sales,medium
0.64,0.6,5,255,5,0,0,0,management,low
0.19,0.38,3,147,7,0,0,0,management,medium
0.24,0.64,7,251,8,0,1,0,sales,low
0.31,0.44,2,307,9,0,0,0,finance,high
0.38,0.8,6,235,9,0,0,0,IT,low
0.76,0.76,5,111,6,0,0,0,product_mng,low
0.09,0.36,3,141,4,0,0,0,RandD,medium
0.31,0.41,3,215,5,0,0,0,RandD,medium
0.33,0.57,2,289,9,0,0,0,IT,medium
0.53,0.36,2,187,9,0,0,0,sales,low
0.33,0.54,7,111,3,0,1,0,product_mng,medium
0.16,0.69,4,170,8,0,1,0,management,low
0.37,0.78,3,204,5,0,0,0,hr,low
0.2,0.37,6,97,5,0,0,0,technical,medium
0.61,0.66,5,204,8,0,1,0,marketing,low
0.78,0.36,2,262,9,0,1,0,RandD,low
0.46,0.66,3,237,3,0,0,0,marketing,medium
0.14,0.97,7,297,8,0,1,0,hr,medium
0.18,0.36,7,184,4,1,1,0,support,low
0.32,0.85,2,306,7,0,0,0,sales,medium
0.69,0.6,4,243,6,1,0,0,hr,low
0.17,0.75,2,254,10,0,0,0,marketing,medium
0.32,0.54,5,191,4,1,1,0,finance,low
0.07,0.37,5,181,6,0,0,0,finance,medium
0.42,0.6,4,237,7,1,1,0,marketing,low
0.13,0.56,6,176,9,0,0,0,support,medium
0.14,0.47,7,282,3,0,0,0,management,medium
0.64,0.84,4,264,8,0,0,0,product_mng,low
0.42,0.81,2,273,10,0,1,0,hr,medium
0.5,0.85,4,203,7,0,0,0,hr,low
0.21,0.87,5,169,4,0,0,0,management,low
0.66,0.72,7,181,6,0,0,0,RandD,low
0.57,0.36,6,240,2,0,0,0,finance,medium
0.4,0.77,7,280,5,0,0,0,product_mng,low
0.18,0.65,4,251,2,0,1,0,finance,high
0.67,0.76,7,257,9,0,1,0,sales,medium
0.15,0.39,7,309,5,0,0,0,marketing,low
0.44,0.87,3,231,3,0,1,0,management,low
0.1,0.36,7,269,6,0,0,0,marketing,low
0.76,0.99,7,233,3,0,1,0,RandD,medium
0.36,0.56,2,305,4,0,0,0,support,medium
0.13,0.73,6,194,7,0,1,0,hr,medium
0.1,0.47,2,245,3,0,0,0,management,low
0.62,0.6,6,139,6,0,1,0,RandD,low
0.28,0.91,2,287,2,0,0,0,finance,low
0.04,0.64,3,249,7,0,0,0,management,low
0.34,0.48,7,181,5,0,1,0,sales,low
0.88,0.36,6,134,9,1,1,0,technical,low
0.26,0.41,2,121,8,0,0,0,finance,medium
0.86,0.36,5,213,3,0,1,0,support,medium
0.72,0.57,4,308,4,0,1,0,IT,medium
0.53,0.45,5,247,6,0,1,0,management,low
0.2,0.53,5,273,8,0,0,0,hr,low
0.54,0.77,3,135,3,0,0,0,management,medium
0.35,0.58,7,140,9,0,1,0,management,medium
0.4,0.57,2,275,8,0,0,0,management,low
0.24,0.45,5,135,3,0,0,0,technical,medium
0.27,0.63,5,125,4,0,1,0,IT,medium
0.46,0.94,4,147,7,0,1,0,marketing,medium
0.45,0.36,6,239,3,0,0,0,marketing,medium
0.06,0.58,3,213,3,1,0,0,sales,medium
0.61,0.5,2,201,3,0,0,0,hr,high
0.33,0.44,7,151,6,1,1,0,finance,low
0.22,0.97,3,214,5,0,0,0,sales,medium
0.65,0.43,3,189,7,1,0,0,IT,medium
0.35,0.6,2,136,4,0,1,0,product_mng,low
0.32,0.8,6,261,6,0,0,0,technical,medium
0.51,0.61,5,230,6,0,0,0,hr,medium
0.3,0.65,3,130,9,0,0,0,product_mng,medium
0.06,0.69,2,293,5,0,0,0,IT,low
0.18,0.39,6,213,5,0,0,0,finance,low
0.65,0.36,4,263,7,0,0,0,support,medium
0.14,0.59,5,301,7,0,0,0,technical,medium
0.52,0.58,3,106,7,0,0,0,finance,low
0.49,0.36,3,126,2,0,0,0,finance,low
0.56,0.68,2,153,9,0,0,0,product_mng,low
0.36,0.36,6,125,6,0,0,0,support,medium
0.17,0.45,7,125,7,0,0,0,marketing,low
0.31,0.36,6,181,5,0,0,0,finance,medium
0.33,0.76,3,233,7,0,1,0,management,low
0.71,0.53,3,97,5,0,0,0,sales,medium
0.58,0.62,7,193,2,0,1,0,hr,low
0.2,0.36,3,240,9,0,0,0,marketing,low
0.54,0.71,3,283,7,0,0,0,product_mng,high
0.09,0.45,6,191,5,0,0,0,IT,medium
0.43,0.44,4,96,5,0,0,0,product_mng,low
0.39,0.36,7,203,10,0,1,0,sales,medium
0.2,0.61,7,153,8,0,0,0,hr,low
0.1,0.39,7,140,10,0,1,0,sales,medium
0.18,0.91,6,210,9,0,0,0,support,medium
0.19,0.81,3,154,3,0,0,0,management,low
0.17,0.51,4,255,5,0,1,0,product_mng,low
0.52,0.51,3,133,8,0,1,0,sales,medium
0.06,0.36,4,155,4,0,1,0,sales,medium
0.64,0.84,7,267,4,0,0,0,finance,medium
0.17,0.42,6,163,7,0,0,0,IT,medium
0.46,0.49,2,305,8,0,0,0,technical,low
0.52,0.54,6,172,8,0,0,0,management,medium
0.63,0.4,4,282,4,0,0,0,hr,high
0.53,0.64,6,98,5,0,0,0,RandD,low
0.24,0.5,6,260,8,0,0,0,RandD,high
0.21,0.89,3,124,4,0,1,0,management,low
0.52,0.64,4,280,4,0,0,0,product_mng,medium
0.57,0.5,2,295,10,0,0,0,RandD,low
0.37,0.36,2,191,10,0,1,0,sales,high
0.16,0.83,3,270,10,0,1,0,IT,medium
0.37,0.6,6,125,5,0,0,0,IT,medium
0.46,0.73,3,268,9,1,1,0,IT,low
0.15,0.75,5,309,4,0,0,0,finance,low
0.46,0.51,7,136,6,0,0,0,finance,low
0.27,0.78,2,163,5,1,1,0,hr,medium
0.25,0.63,2,239,9,1,0,0,finance,low
0.42,0.72,3,119,5,0,0,1,finance,medium
0.62,0.94,5,141,10,0,0,0,management,high
0.54,0.8,6,124,7,0,0,0,hr,low
0.5,0.36,6,269,2,0,0,0,management,low
0.9,0.94,6,108,2,0,0,0,hr,low
0.63,0.45,5,199,3,0,0,0,technical,low
0.42,0.68,7,186,6,0,0,0,IT,medium
0.31,0.68,3,199,8,0,0,0,IT,high
0.57,0.5,3,258,2,0,0,0,RandD,low
0.51,0.52,4,188,2,1,1,0,product_mng,low
0.13,0.83,2,161,3,0,0,1,finance,medium
0.31,0.36,5,202,6,0,0,0,technical,medium
0.13,0.42,4,105,4,0,1,0,hr,medium
0.16,0.42,6,111,7,0,0,0,product_mng,high
0.24,0.67,3,100,6,0,0,0,RandD,medium
0.3,0.36,5,255,3,0,0,0,marketing,high
0.27,0.77,6,170,6,0,1,0,RandD,low
0.26,0.48,5,133,7,0,1,0,product_mng,high
0.43,0.81,7,195,5,0,0,0,management,medium
0.39,0.69,4,191,4,0,0,0,RandD,low
0.68,0.37,6,257,2,0,0,0,management,medium
0.52,0.86,2,179,7,0,0,0,management,medium
0.45,0.36,6,125,7,0,0,0,IT,high
0.61,0.36,4,181,2,0,1,0,management,medium
0.18,0.83,4,209,3,0,0,0,hr,low
0.52,0.9,2,122,3,1,1,0,IT,low
0.25,0.4,6,302,7,0,0,0,technical,low
0.64,0.36,5,198,2,0,1,0,RandD,low
0.45,0.36,2,176,10,0,0,0,product_mng,low
0.24,0.44,3,156,10,0,0,0,product_mng,medium
0.7,0.8,4,140,4,0,0,0,management,low
0.52,0.83,2,239,10,0,0,0,marketing,medium
0.33,0.44,2,288,10,0,0,0,product_mng,low
0.84,0.83,5,225,8,0,0,0,sales,low
0.73,0.42,4,241,6,1,0,0,IT,low
0.37,0.36,4,109,2,0,1,0,technical,high
0.06,0.74,5,276,4,1,0,0,management,medium
0.32,0.62,7,219,3,0,0,0,sales,high
0.53,0.54,4,152,9,0,1,0,hr,low
0.29,0.73,4,185,6,0,0,0,hr,medium
0.18,0.52,4,201,9,0,0,0,finance,high
0.43,0.36,2,272,3,0,0,0,support,medium
0.26,0.8,6,241,3,0,0,1,IT,low
0.55,0.62,6,277,4,1,1,0,RandD,medium
0.08,0.79,4,282,4,0,0,0,product_mng,low
0.68,0.72,6,127,6,1,0,0,support,medium
0.59,0.36,6,141,10,0,0,0,management,low
0.1,0.5,2,216,7,0,0,0,management,low
0.19,0.36,6,164,4,0,0,0,technical,high
0.33,0.57,7,243,3,0,0,0,hr,low
0.67,0.51,5,204,10,0,0,0,technical,medium
0.25,0.7,5,145,4,0,0,0,support,low
0.38,0.81,5,211,10,0,0,0,finance,low
0.56,0.93,6,241,3,0,0,0,finance,medium
0.43,0.47,5,117,6,0,0,0,finance,low
0.33,0.8,4,228,4,0,1,0,RandD,low
0.19,0.39,5,223,8,0,0,0,hr,medium
0.52,0.7,2,292,4,0,0,0,RandD,low
0.71,0.52,4,144,3,0,0,0,management,medium
0.52,0.36,7,169,10,0,0,0,hr,medium
0.35,0.68,6,128,2,0,0,0,sales,medium
0.49,0.83,2,136,4,0,0,0,finance,medium
0.35,0.94,6,231,9,0,1,0,RandD,low
0.53,0.56,3,106,3,0,0,0,technical,low
0.46,0.66,7,297,9,0,0,0,IT,low
0.44,0.51,4,172,3,0,0,0,IT,low
0.33,0.74,4,297,2,1,0,0,RandD,medium
0.41,0.87,5,254,8,0,0,0,hr,high
0.24,0.54,6,181,8,0,0,0,technical,low
0.47,0.61,5,278,8,0,0,0,marketing,medium
0.33,0.89,4,220,5,1,0,0,technical,low
0.31,0.69,7,183,7,0,0,0,support,low
0.89,0.71,3,274,4,0,0,0,finance,low
0.06,0.43,2,190,3,0,0,0,support,medium
0.48,0.67,3,157,4,0,0,0,management,high
0.11,0.89,5,244,6,0,0,0,IT,medium
0.37,0.9,6,300,10,0,1,0,RandD,low
0.56,0.63,6,218,6,0,0,0,hr,low
0.18,0.88,4,121,5,1,1,0,finance,low
0.09,0.36,2,175,10,0,0,0,RandD,low
0.5,0.65,7,236,7,0,0,0,IT,medium
0.21,0.9,3,290,9,0,0,0,IT,low
0.17,0.44,7,307,7,0,1,0,management,low
0.3,0.36,2,267,5,0,0,0,finance,high
0.81,0.82,4,171,2,0,0,0,marketing,medium
0.32,0.48,3,301,9,0,0,1,sales,medium
0.28,0.73,7,226,4,0,0,0,management,medium
0.29,0.79,7,243,4,0,1,0,finance,low
0.16,0.36,2,101,2,0,0,0,product_mng,low
0.29,0.69,6,99,5,0,0,0,IT,medium
0.67,0.54,4,118,8,0,0,0,RandD,medium
0.18,0.62,6,100,8,1,0,0,support,low
0.19,0.85,2,235,2,0,0,0,IT,medium
0.2,0.66,6,155,5,0,1,0,RandD,medium
0.14,0.7,4,191,6,0,0,0,marketing,low
0.66,0.76,2,249,4,0,0,0,hr,medium
0.58,0.55,6,188,7,1,0,0,technical,low
0.36,0.66,7,282,7,1,0,0,IT,low
0.63,0.6,3,203,5,0,0,0,IT,low
0.25,0.48,5,236,10,0,0,0,support,medium
0.31,0.67,4,232,9,1,1,0,marketing,low
0.47,0.48,7,168,6,0,0,0,management,low
0.35,0.61,6,266,2,0,1,0,RandD,medium
0.56,0.63,7,246,5,1,0,0,technical,medium
0.63,0.36,5,117,9,0,0,0,management,low
0.12,0.97,2,177,5,0,0,0,marketing,medium
0.7,0.4,2,137,5,0,0,0,sales,low
0.4,0.36,4,272,9,0,0,0,IT,low
0.26,0.56,7,255,5,1,0,0,RandD,medium
0.35,0.36,3,307,9,0,0,0,IT,low
0.49,0.49,3,231,4,1,1,0,management,low
0.26,0.83,2,116,5,0,1,0,marketing,low
0.53,0.61,6,174,2,0,0,0,RandD,medium
0.3,0.81,4,160,7,0,0,0,support,low
0.79,0.8,5,122,10,0,0,0,RandD,medium
0.23,0.56,4,241,2,0,0,0,management,low
0.35,0.76,6,173,7,0,0,0,product_mng,low
0.66,0.96,5,140,9,0,1,0,IT,low
0.61,0.45,6,169,6,0,0,0,hr,low
0.34,0.37,3,144,7,0,1,0,RandD,low
0.74,0.36,6,144,9,0,0,0,marketing,low
0.11,0.36,6,191,3,0,0,0,management,medium
0.41,0.83,2,228,5,0,0,0,sales,low
0.31,0.86,6,160,10,0,1,0,marketing,low
0.35,0.83,2,271,7,0,0,0,product_mng,medium
0.25,0.77,2,281,2,0,0,1,sales,medium
0.39,0.82,5,118,10,0,0,0,IT,low
0.14,0.91,7,206,10,0,0,0,product_mng,high
0.4,0.75,7,138,6,0,0,0,management,low
0.32,0.38,7,143,4,0,0,0,support,low
0.42,0.47,7,107,10,0,0,0,hr,low
0.36,0.57,5,256,10,0,1,0,sales,low
0.28,0.36,4,207,7,1,0,0,support,low
0.17,0.56,2,295,2,0,0,0,product_mng,low
0.48,0.48,3,231,2,0,0,0,marketing,medium
0.32,0.83,6,234,3,1,0,0,RandD,medium
0.54,0.57,2,202,5,0,0,0,support,medium
0.26,0.58,6,180,5,0,1,0,technical,high
0.19,0.86,5,204,2,1,1,0,marketing,low
0.12,0.75,5,192,4,0,0,0,sales,medium
0.29,0.86,5,303,10,0,1,0,RandD,medium
0.73,0.36,6,169,5,0,0,0,RandD,low
0.12,0.63,7,113,2,0,0,0,finance,medium
0.18,0.36,6,154,5,0,1,0,RandD,high
0.34,0.56,6,129,10,0,0,0,hr,medium
0.28,0.98,6,238,9,0,0,0,marketing,low
0.38,0.36,5,155,2,0,0,0,IT,low
0.47,0.67,4,180,6,0,0,0,IT,low
0.73,0.93,2,291,2,0,0,0,hr,low
0.25,0.45,7,271,10,0,0,0,management,low
0.76,0.36,2,182,8,1,0,0,finance,high
0.66,0.87,6,151,5,0,0,0,technical,medium
0.29,0.8,6,285,3,0,0,0,support,low
0.66,0.54,6,127,4,0,0,0,marketing,medium
0.2,0.36,4,168,7,1,0,0,hr,medium
0.13,0.6,5,267,10,0,0,0,support,medium
0.16,0.53,5,228,4,0,0,0,IT,medium
0.33,0.55,7,154,7,0,1,0,IT,medium
0.05,0.37,5,132,3,1,0,0,RandD,low
0.16,0.45,4,121,4,0,0,0,IT,low
0.09,0.54,6,243,4,0,0,0,finance,low
0.77,0.9,6,271,3,0,0,0,product_mng,medium
0.26,0.41,3,241,8,0,0,0,IT,high
0.58,0.6,7,260,9,0,0,0,RandD,low
0.26,0.36,7,193,4,0,0,0,technical,low
0.34,0.62,2,293,6,0,0,0,finance,low
0.1,0.68,7,179,6,0,0,0,RandD,medium
0.23,0.47,7,218,8,0,1,0,product_mng,low
0.41,0.89,5,237,3,1,0,1,marketing,low
0.1,0.41,2,295,10,0,0,0,support,medium
0.24,0.46,6,187,9,0,0,0,sales,low
0.39,0.63,2,237,7,0,0,0,sales,medium
0.17,0.57,4,121,6,0,0,0,IT,low
0.71,0.36,4,245,9,0,0,0,management,medium
0.33,0.84,5,183,3,0,0,0,RandD,low
0.48,0.95,3,213,7,1,0,1,management,low
0.32,0.63,6,135,6,0,0,0,finance,low
0.48,0.38,5,224,8,0,1,0,sales,low
0.25,0.6,2,298,7,0,0,0,finance,medium
0.13,0.9,3,200,6,0,1,0,IT,low
0.15,0.36,7,238,5,0,1,0,product_mng,low
0.47,0.36,2,184,4,0,0,0,marketing,low
0.33,0.39,3,206,9,0,1,0,product_mng,medium
0.21,0.8,6,176,3,0,1,0,support,medium
0.16,0.48,6,216,6,0,0,0,marketing,high
0.3,0.84,6,113,4,0,1,0,IT,low
0.39,0.82,2,124,2,0,0,0,marketing,low
0.5,0.84,2,102,8,0,0,0,sales,medium
0.5,0.75,2,226,7,0,0,0,marketing,medium
0.64,0.74,6,238,7,0,0,0,finance,low
0.08,0.74,6,225,10,0,0,0,product_mng,low
0.45,0.88,6,257,4,1,0,0,sales,medium
0.3,0.64,6,202,10,0,1,0,RandD,low
0.38,0.95,6,131,6,0,0,0,product_mng,low
0.27,0.85,3,206,6,0,1,0,sales,medium
0.11,0.69,7,148,7,0,0,0,marketing,low
0.23,0.74,5,166,4,0,0,0,sales,medium
0.31,0.78,2,268,4,1,0,0,sales,medium
0.39,0.7,4,143,7,0,0,0,RandD,medium
0.44,0.75,4,296,6,0,0,0,hr,medium
0.16,0.61,6,127,8,0,1,0,marketing,high
0.37,0.66,2,280,5,1,0,0,hr,low
0.48,0.61,6,215,2,0,0,0,finance,low
0.41,0.36,6,264,4,0,0,0,IT,low
0.05,0.43,5,126,2,0,1,0,IT,medium
0.38,0.88,2,183,6,0,0,0,support,medium
0.25,0.62,4,225,7,0,0,0,finance,medium
0.25,0.85,7,106,3,0,0,0,technical,medium
0.61,0.81,5,289,9,0,0,0,hr,low
0.54,0.42,5,295,7,0,1,0,sales,low
0.26,0.54,2,209,3,0,0,0,product_mng,low
0.3,0.51,7,284,3,0,1,0,support,low
0.17,0.66,7,285,4,0,1,0,support,low
0.11,0.79,6,226,8,0,1,0,marketing,medium
0.57,0.85,7,214,7,0,0,0,IT,medium
0.68,0.54,5,179,10,0,1,0,management,low
0.66,0.36,6,296,4,0,0,0,product_mng,low
0.83,0.36,5,170,6,0,1,0,technical,low
0.48,0.61,3,123,2,0,0,0,support,low
0.31,0.57,3,121,9,0,0,0,product_mng,low
0.44,0.92,6,156,6,0,0,0,IT,low
0.41,0.87,4,153,7,1,0,0,finance,medium
0.48,0.36,2,183,6,0,0,0,finance,low
0.36,0.77,6,260,4,0,0,0,RandD,medium
